spoken,formal
社保断缴了咋补啊？,社保断缴后，申请人可通过政务服务平台提交补缴申请办理相关手续。
我想办个营业执照，需要带啥东西？,申请人办理营业执照时，需携带身份证原件、经营场所证明等相关材料。
这个补贴啥时候能到账？,该类补贴的发放到账时间为申请审核通过后的15个工作日内。
农村户口能申请低保吗？,农村户籍居民满足相关条件的，可依法申请最低生活保障待遇。
医保异地就医怎么报销？,参保人员办理医保异地就医备案后，可按规定享受异地就医报销待遇。
公积金能取出来买房吗？,缴存职工满足购房相关条件的，可申请提取住房公积金用于购房相关支出。
我社保卡丢了，怎么补办？,参保人社保卡遗失后，可前往政务服务大厅或线上平台申请补办社保卡。
个体户需要交税吗？,个体工商户需按照国家税收相关规定，依法履行纳税申报及缴纳义务。
独生子女补贴怎么申请？,符合条件的居民可向户籍所在地街道办事处提交独生子女补贴的申请材料。
营业执照过期了能续期吗？,营业执照有效期届满后，经营者可按规定申请办理营业执照续期手续。
社保交了10年，能领养老金吗？,参保人员累计缴纳养老保险满10年，满足法定退休年龄条件的，可依法申领基本养老金。
灵活就业人员能交社保吗？,灵活就业人员可按规定以个人身份参加职工基本养老保险和职工基本医疗保险。
社保转移需要什么材料？,办理社保转移业务时，申请人需提供身份证原件、社保缴费证明等相关材料。
医保断缴了还能报销吗？,医保断缴期间，参保人员暂无法享受医保报销待遇，补缴后按规定恢复享受。
我快退休了，社保不够15年咋办？,临近退休但养老保险累计缴费不足15年的，可按规定申请延长缴费至满15年。
公司不给交社保怎么办？,用人单位未依法为职工缴纳社会保险的，职工可向劳动保障监察部门投诉举报。
医保报销比例是多少？,职工基本医疗保险报销比例根据就诊医院级别、医疗费用类型等按规定执行，一般为50%-90%。
新生儿怎么交医保？,新生儿可由监护人携带户口簿、出生证明等材料，到户籍所在地医保经办机构办理参保登记。
社保补缴要交滞纳金吗？,逾期补缴社会保险费的，需按规定缴纳一定数额的滞纳金，具体标准按相关规定执行。
外地社保能转回老家吗？,异地缴纳的社会保险可按规定转移至户籍所在地或就业地，缴费年限累计计算。
个体户营业执照怎么年审？,个体工商户需按规定通过国家企业信用信息公示系统完成年度报告公示。
办营业执照要多少钱？,办理营业执照登记业务，按相关规定不收取费用，全程免费办理。
营业执照能变更法人吗？,企业营业执照上的法定代表人信息可按规定向登记机关申请变更登记。
网店需要办营业执照吗？,从事网络经营活动的市场主体，需按规定办理市场主体登记，领取营业执照。
营业执照丢了怎么补办？,营业执照遗失后，经营者需先进行遗失公告，再向登记机关申请补办。
办营业执照需要多久能下来？,营业执照登记业务办理时限一般为3个工作日，符合条件的可当场办结。
个体户能变更经营范围吗？,个体工商户如需变更经营范围，可向登记机关提交相关材料申请变更登记。
营业执照需要挂在店里吗？,企业应将营业执照正本置于经营场所的醒目位置，接受社会监督。
办营业执照需要本人去吗？,办理营业执照可由本人办理，也可委托他人代为办理，委托需提供授权委托书。
个体户营业执照能转让吗？,个体工商户营业执照不得转让，经营者变更需重新办理登记手续。
营业执照年检逾期了怎么办？,营业执照年度报告逾期未公示的，经营者需及时补报公示，并接受相关部门处理。
个体户营业执照注销需要什么材料？,注销个体工商户营业执照需提供身份证、营业执照正副本等相关材料。
营业执照上的名称能改吗？,企业如需变更名称，可向登记机关提交名称变更申请及相关材料办理变更登记。
低保申请需要什么条件？,申请最低生活保障需符合户籍条件、家庭收入低于当地低保标准、家庭财产状况符合规定等要求。
低保一个月能领多少钱？,最低生活保障金发放标准由各地根据经济社会发展水平、物价水平等因素确定，具体金额以当地最新标准为准。
低保怎么申请？,申请最低生活保障需由申请人向户籍所在地街道办事处或乡镇人民政府提出书面申请。
低保多久审核一次？,最低生活保障待遇实行定期复核制度，一般每年复核一次，动态调整保障对象。
残疾人能优先申请低保吗？,持有残疾人证且符合低保条件的残疾人家庭，可按规定优先纳入最低生活保障范围。
低保户看病有优惠吗？,最低生活保障对象可按规定享受医疗救助、门诊慢性病报销等相关医疗优惠政策。
家庭有车能申请低保吗？,家庭拥有非经营性车辆等财产超标的，不符合最低生活保障申请条件。
低保申请多久能批下来？,最低生活保障申请审核审批时限一般为30个工作日，具体以当地经办流程为准。
低保金是按月发吗？,最低生活保障金实行按月发放，通过银行转账方式直接发放至保障对象个人账户。
城市户口怎么申请低保？,城镇户籍居民需向户籍所在地社区居委会提出低保申请，经审核审批后纳入保障范围。
低保户孩子上学有补贴吗？,最低生活保障家庭的在校学生可按规定申请教育救助、助学金等相关补贴。
低保资格会被取消吗？,保障对象家庭收入、财产状况发生变化，不再符合低保条件的，将依法取消其低保资格。
无子女老人能申请低保吗？,无劳动能力、无生活来源、无法定赡养抚养义务人或其法定义务人无履行义务能力的老年人，可申请最低生活保障。
小微企业能领什么补贴？,符合条件的小微企业可按规定申领创业补贴、稳岗补贴、社保补贴等相关扶持补贴。
创业补贴怎么申请？,创业者申请创业补贴需向当地人社部门提交身份证、营业执照、创业计划书等相关材料。
生育补贴能领多少钱？,生育津贴发放标准按职工所在用人单位上年度职工月平均工资计算，具体金额以当地政策为准。
补贴申请需要什么条件？,申请相关补贴需符合户籍、从业状态、经营类型等相关条件，具体以补贴政策要求为准。
技能培训有补贴吗？,符合条件的劳动者参加职业技能培训并取得相应证书的，可按规定申请职业技能培训补贴。
农村创业有补贴吗？,返乡入乡创业人员可按规定享受场地支持、创业补贴、融资贴息等相关创业扶持政策。
补贴能线上申请吗？,相关补贴可通过政务服务APP、网上政务服务平台等线上渠道提交申请，无需现场办理。
灵活就业补贴怎么领？,灵活就业人员符合补贴条件的，需先办理就业登记，再向人社部门申请灵活就业社保补贴。
残疾人创业有什么补贴？,残疾人创业可按规定享受创业补贴、场地租赁补贴、税收减免等相关扶持政策。
租房补贴怎么申请？,符合住房保障条件的申请人，可向户籍所在地或就业地住房保障部门申请租房补贴。
大学生创业补贴有多少？,高校毕业生创业补贴标准由各地自行制定，一般为一次性发放5000-20000元，具体以当地政策为准。
农业补贴怎么领？,符合条件的农业生产经营主体可向当地农业农村部门申请农业生产补贴，补贴通过一卡通直接发放。
失业补贴怎么申请？,失业人员符合失业保险金领取条件的，可通过线上政务平台或失业保险经办机构申请领取。
公积金怎么交？,住房公积金由用人单位和职工个人共同缴存，缴存比例按当地政策及单位规定执行。
公积金贷款能贷多少？,住房公积金贷款额度根据缴存基数、缴存年限、房屋总价等因素综合核定，具体以经办银行审批为准。
公积金提取需要什么材料？,提取住房公积金需提供身份证、相关业务证明材料（如购房合同、租赁合同等）。
公积金能用来装修吗？,缴存职工满足住房装修相关条件的，可按规定申请提取住房公积金用于房屋装修支出。
公积金账户怎么查询？,缴存职工可通过公积金管理中心APP、网上服务平台、自助终端等渠道查询账户信息。
公积金断缴了有啥影响？,住房公积金断缴可能影响公积金贷款申请资格，账户余额仍可按规定提取使用。
离职后公积金能取出来吗？,职工离职后符合提取条件的（如异地就业、退休等），可申请提取住房公积金账户余额。
公积金能用来还房贷吗？,缴存职工可申请办理公积金冲还贷业务，直接用公积金账户余额偿还住房贷款本息。
公积金缴存比例是多少？,住房公积金缴存比例一般为5%-12%，具体比例由用人单位根据自身情况在规定范围内确定。
公积金能异地贷款买房吗？,缴存职工在异地购房的，可按规定向购房地公积金管理中心申请异地公积金贷款。
公积金能用来租房吗？,缴存职工在本市无自有住房且租房居住的，可按规定申请提取住房公积金支付房租。
公积金提取多久能到账？,住房公积金提取申请审核通过后，资金一般在3-5个工作日内到账。
个人所得税怎么申报？,纳税人可通过个人所得税APP、自然人电子税务局等渠道办理个人所得税纳税申报。
个税专项附加扣除有哪些？,个人所得税专项附加扣除包括子女教育、继续教育、大病医疗、住房贷款利息、住房租金、赡养老人等六项。
工资多少需要交个税？,个人综合所得应纳税所得额为年收入减除6万元费用及专项扣除、专项附加扣除等后的余额，余额大于0的需缴纳个人所得税。
小规模纳税人免税吗？,小规模纳税人月销售额未超过10万元（季度30万元）的，可按规定享受增值税免征政策。
个税汇算清缴怎么操作？,纳税人需在每年3月1日至6月30日期间，通过个人所得税APP办理上一年度个人所得税汇算清缴。
个税能退吗？,纳税人在个税汇算清缴时，如已预缴税额大于应纳税额的，可按规定申请退税。
开公司要交哪些税？,企业经营过程中需缴纳的税种包括增值税、企业所得税、城市维护建设税、教育费附加等，具体按经营项目确定。
电子发票怎么报销？,电子发票与纸质发票具有同等法律效力，报销时需提供电子发票版式文件及相关报销凭证。
个税税率是多少？,个人综合所得适用3%-45%的超额累进税率，经营所得适用5%-35%的超额累进税率。
税务登记怎么办理？,企业及个体工商户需在领取营业执照后30日内，向税务机关申请办理税务登记。
政务大厅周末上班吗？,政务服务大厅工作时间一般为周一至周五（法定节假日除外），部分窗口提供延时服务，具体以当地公告为准。
异地能办身份证吗？,居民可在异地公安机关出入境管理部门申请换领、补领居民身份证，需提供相关身份证明材料。
户口本丢了怎么补办？,居民户口簿遗失后，户主可携带身份证到户籍所在地派出所申请补办。
政务办理能网上预约吗？,申请人可通过政务服务网、政务APP等渠道预约政务服务大厅相关业务办理时间。
